end_station_name,zipcode
W 13 St & 7 Ave,10011
University Pl & E 14 St,10003
St Marks Pl & 2 Ave,10003
Montrose Ave & Bushwick Ave,11206
St James Pl & Pearl St,10038
Carmine St & 6 Ave,10014
Broadway & Whipple St,11207
W 33 St & 10 Ave,10001
Spruce St & Gold St,10038
10 Ave & W 28 St,10001
3 Ave & E 62 St,10065
Berry St & N 8 St,11249
Kent Ave & Division Ave,11211
34 Ave & 31 St,11101
S Portland Ave & Hanson Pl,11217
Bedford Ave & Bergen St,11226
W 30 St & 10 Ave,10011
Sterling Pl & 5 Ave,11217
Lafayette St & E 8 St,10003
Greenwich St & W Houston St,10014
Atlantic Ave & Furman St,11201
Vesey St & Church St,10281
W 84 St & Broadway,10024
Madison Ave & E 82 St,10028
Steinway St & 28 Ave,11103
Ashland Pl & Dekalb Ave,11201
Frederick Douglass Blvd & W 115 St,10026
31 St & 21 Ave,11101
Bergen St & Vanderbilt Ave,11213
Broadway\t& W 48 St,10019
St. Nicholas Ave & W 126 St,10040
Madison Ave & E 26 St,10037
Broadway & E 14 St,10003
W 43 St & 10 Ave,10036
Washington St & Barrow St,10014
George St & Wilson Ave,11237
E 6 St & Avenue D,10009
Spruce St & Nassau St,10038
W 82 St & Central Park West,10024
Henry St & Grand St,10002
Park Pl & Church St,10007
E 88 St & Park Ave,10128
Broadway & Berry St,11207
5 Ave & E 72 St,10021
Albee Square W & Fulton St,11201
Grand St & Elizabeth St,10013
Clinton St & Cherry St,10002
W 34 St & 11 Ave,10199
1 Ave & E 68 St,10021
W 36 St & 9 Ave,10018
8 Ave & W 49 St,10019
E 44 St & 2 Ave,10017
4 Ave & E 12 St,10003
1 Ave & E 30 St,10016
W 44 St & 11 Ave,10036
E 14 St & 1 Ave,10003
Emerson Pl & Myrtle Ave,11205
Grand Concourse & E 161 St,10451
W 31 St & 7 Ave,10001
E 84 St & 1 Ave,10028
St Marks Pl & 1 Ave,10003
2 Ave & E 72 St,10035
West Drive & Prospect Park West,11215
Home St & Westchester Ave,10459
West Thames St,10280
W 13 St & 5 Ave,10011
Prospect Park West & 8 St,11215
Broadway & W 29 St,10019
31 Ave & 34 St,11369
W 26 St & 8 Ave,10001
Clinton St & Grand St,10002
River Ave & E 151 St,10451
W 47 St & 6 Ave,10111
W 54 St & 11 Ave,10019
30 St & 4 Ave,11232
Norfolk St & Broome St,10002
W 50 St & 10 Ave,10019
Stewart Ave & Johnson Ave,11237
31 Rd & 21 St,11106
Hope St & Union Ave,11211
W 17 St & 7 Ave,10011
Central Park W & W 97 St,10025
1 Ave & E 78 St,10075
Christopher St & Greenwich St,10014
2 Ave & E 29 St,10016
Vernon Blvd & 50 Ave,11109
E 17 St & Broadway,10010
Creston Ave & E 181 St,10453
2 Ave & E 125 St,10035
E 30 St & Park Ave S,10016
72 St & 41 Ave,11377
St Nicholas Ave & Manhattan Ave,10027
E 89 St & York Ave,10128
Grand Concourse & E 166 St,10456
Columbus Ave & W 95 St,10025
W 16 St & The High Line,10011
Broad St & Bridge St,10004
W 21 St & 6 Ave,10011
Leonard St & Maujer St,11222
1 Ave & E 110 St,10029
E 20 St & Park Ave,10003
W 106 St & Amsterdam Ave,10025
Gramercy Park N & Gramercy Park E,10010
W 29 St & 9 Ave,10001
Bialystoker Pl & Delancey St,10002
Amsterdam Ave & W 119 St,10115
Frederick Douglass Blvd & W 112 St,10026
Intervale Ave & Westchester Ave,10459
Putnam Ave & Nostrand Ave,11216
Centre St & Chambers St,10000
E 6 St & 2 Ave,10003
Carroll St & Bond St,11231
W 34 St &\tHudson Blvd E,10199
3 St & Prospect Park West,11215
Fulton St & Broadway,10038
E 41 St & Madison Ave (SW corner),10017
5 Ave & E 87 St,10128
Suydam St & Broadway,11221
W 25 St & 6 Ave,10001
Broadway & E 19 St,10003
W 46 St & 11 Ave,10036
11 Ave & W 59 St,10069
W 26 St & 10 Ave,10001
W 64 St & Thelonious Monk Circle,10023
Broadway & W 38 St,10018
E 58 St & 3 Ave,10022
Central Park North & Adam Clayton Powell Blvd,10026
W 36 St & 7 Ave,10018
E 85 St & 3 Ave,10028
W 52 St & 11 Ave,10019
58 St & Pier 4,
E 59 St & Madison Ave,10022
Stagg St & Union Ave,
E 60 St & York Ave,10155
E 7 St & Avenue A,10009
Bus Slip & State St,10004
W 48 St &  Rockefeller Plaza,10036
Lafayette Ave & Classon Ave,11221
Clermont Ave & Park Ave,11205
Willoughby Ave & Wyckoff Ave,11237
E 11 St & 3 Ave,10009
27 St & Hunter St,11101
Broadway & W 51 St,10019
W 56 St & 6 Ave,10019
Fulton St & William St,10279
6 Ave & Walker St,10013
Albany St & Greenwich St,10006
Lenox Ave & W 111 St,10037
Washington Square E,10012
Broadway & W 131 St,10027
Cumberland St & Lafayette Ave,11238
E 47 St & 1 Ave,10158
E 72 St & York Ave,10021
W 4 St & 7 Ave S,10014
