City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,morbegno,46.1383,9.57,14.58,31,5,2.72,IT,1675260079
1,severo-kurilsk,50.6789,156.125,-5.48,60,92,4.85,RU,1675259969
2,tura,25.5198,90.2201,17.3,38,0,0.54,IN,1675260081
3,beni suef,29.0731,31.0979,17.46,36,28,10.27,EG,1675260081
4,port alfred,-33.5906,26.891,23.43,79,70,4.92,ZA,1675259865
5,guatire,10.4762,-66.5427,27.61,54,1,1.69,VE,1675259805
6,lebu,-37.6167,-73.65,16.36,71,4,7.86,CL,1675259826
7,rikitea,-23.1203,-134.9692,25.69,78,4,7.11,PF,1675259881
8,tasiilaq,65.6145,-37.6368,-10.39,72,100,11.05,GL,1675259904
9,chuy,-33.6971,-53.4616,27.12,62,41,4.99,UY,1675259776
10,punta arenas,-53.15,-70.9167,14.01,62,75,12.86,CL,1675260085
11,qaanaaq,77.484,-69.3632,-24.4,63,80,3.47,GL,1675259901
12,severodvinsk,64.5635,39.8302,-3.94,92,84,4.28,RU,1675260087
13,mar del plata,-38.0023,-57.5575,23.24,77,40,5.14,AR,1675259666
14,kyabe,9.4515,18.9449,39.78,6,0,2.55,TD,1675260088
15,bambous virieux,-20.3428,57.7575,29.14,70,75,4.63,MU,1675260089
16,kodiak,57.79,-152.4072,1.4,85,100,1.99,US,1675260089
17,anito,12.4497,125.2886,25.67,91,15,4.08,PH,1675260090
18,cayenne,4.9333,-52.3333,24.02,94,75,6.69,GF,1675260090
19,newport,51.5877,-2.9984,10.98,74,66,8.09,GB,1675259851
20,bethel,41.3712,-73.414,-2.12,61,0,1.54,US,1675259894
21,clyde river,70.4692,-68.5914,-36.87,61,0,2.06,CA,1675260092
22,avarua,-21.2078,-159.775,27.03,74,40,4.12,CK,1675259902
23,sobolevo,54.4299,31.8996,-1.15,83,100,6.08,RU,1675260093
24,cape town,-33.9258,18.4232,26.73,51,0,6.17,ZA,1675259754
25,antalaha,-14.9003,50.2788,26.7,86,66,5.16,MG,1675260094
26,batemans bay,-35.7167,150.1833,20.61,91,100,0.63,AU,1675259880
27,kudahuvadhoo,2.6708,72.8944,26.87,72,66,6.27,MV,1675260095
28,puerto ayora,-0.7393,-90.3518,26.42,89,89,2.24,EC,1675259699
29,cherskiy,68.75,161.3,-25.08,100,100,0.72,RU,1675260096
30,butaritari,3.0707,172.7902,26.79,79,100,6.79,KI,1675259977
31,upernavik,72.7868,-56.1549,-25.74,99,65,3.33,GL,1675259943
32,vaini,-21.2,-175.2,27.09,83,75,4.63,TO,1675259903
33,port augusta,-32.5,137.7667,19.2,68,4,7.13,AU,1675260097
34,san cristobal,7.7669,-72.225,17.1,63,33,0.14,VE,1675260098
35,bose,45.4612,8.0137,14.05,47,0,1.45,IT,1675260099
36,nikolskoye,59.7035,30.7861,-0.05,93,100,2.46,RU,1675259974
37,talnakh,69.4865,88.3972,-13.77,95,100,7.07,RU,1675260100
38,grand gaube,-20.0064,57.6608,29.22,70,100,2.68,MU,1675259988
39,airai,-8.9266,125.4092,17.04,94,100,0.67,TL,1675259913
40,guerrero negro,27.9769,-114.0611,12.43,66,87,2.51,MX,1675260102
41,klaksvik,62.2266,-6.589,2.51,68,89,6.85,FO,1675259877
42,vao,-22.6667,167.4833,26.07,79,55,3.68,NC,1675260102
43,moranbah,-22.0016,148.0466,26.75,75,100,3.24,AU,1675260103
44,mahebourg,-20.4081,57.7,29.16,70,75,4.63,MU,1675259964
45,albany,42.6001,-73.9662,-7.59,57,15,0.86,US,1675259624
46,georgetown,5.4112,100.3354,25.96,94,40,1.03,MY,1675260105
47,katsuura,35.1333,140.3,13.01,63,75,13.12,JP,1675259949
48,geraldton,-28.7667,114.6,24.23,78,0,5.66,AU,1675259924
49,manoel urbano,-8.8389,-69.2597,25.39,85,100,1.66,BR,1675260107
50,northam,51.0333,-4.2167,9.78,82,100,9.37,GB,1675260108
51,pevek,69.7008,170.3133,-17.0,94,100,1.19,RU,1675260108
52,alofi,-19.0595,-169.9187,24.94,94,100,5.66,NU,1675259933
53,dikson,73.5069,80.5464,-15.03,88,100,5.73,RU,1675259948
54,santa cruz,-17.8,-63.1667,27.03,69,40,4.63,BO,1675259977
55,barrow,71.2906,-156.7887,-21.99,71,0,12.35,US,1675259871
56,krasnoborsk,61.5598,45.934,-2.98,88,73,3.83,RU,1675260110
57,lingao,19.9103,109.6859,20.63,87,63,5.07,CN,1675260111
58,hilo,19.7297,-155.09,25.16,92,0,1.54,US,1675259916
59,anamur,36.0751,32.8369,9.2,64,100,1.78,TR,1675259915
60,carnarvon,-24.8667,113.6333,25.56,79,3,7.64,AU,1675259981
61,bluff,-46.6,168.3333,15.91,98,100,2.1,NZ,1675259893
62,mataura,-46.1927,168.8643,16.45,100,100,0.99,NZ,1675259881
63,rincon,32.296,-81.2354,17.98,96,100,3.09,US,1675260113
